2017-05-09,timestamp,lat,lon,brngX,brngY,brngDeg,TURN,MED
B0908524846212N01835471EA001580026200409,2017-05-09 09:08:52,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908534846212N01835471EA001580026200409,2017-05-09 09:08:53,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908544846212N01835471EA001580026200409,2017-05-09 09:08:54,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908554846212N01835471EA001580026200409,2017-05-09 09:08:55,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908564846212N01835471EA001570026200409,2017-05-09 09:08:56,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908574846212N01835471EA001570026200409,2017-05-09 09:08:57,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908584846212N01835471EA001580026200409,2017-05-09 09:08:58,48.77020,18.59118,0.00,0.00,0.000,0,0
B0908594846212N01835471EA001580026200409,2017-05-09 09:08:59,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909004846212N01835471EA001590026200409,2017-05-09 09:09:00,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909014846212N01835471EA001590026200409,2017-05-09 09:09:01,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909024846212N01835471EA001580026200409,2017-05-09 09:09:02,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909034846212N01835471EA001580026200409,2017-05-09 09:09:03,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909044846212N01835471EA001580026200409,2017-05-09 09:09:04,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909054846212N01835471EA001580026200409,2017-05-09 09:09:05,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909064846212N01835471EA001580026200409,2017-05-09 09:09:06,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909074846212N01835471EA001580026200409,2017-05-09 09:09:07,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909084846212N01835471EA001580026200409,2017-05-09 09:09:08,48.77020,18.59118,0.00,0.00,0.000,0,0
B0909094846212N01835471EA001590026200409,2017-05-09 09:09:09,48.77020,18.59118,0.00,0.00,0.000,0,0
